agent\.name,agent\.ip,rule\.id,rule\.description,data\.vulnerability\.severity,location,data\.win\.system\.severityValue,data\.win\.system\.systemTime,rule\.info,full_log
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Recovery Key' is set to 'Enabled: Do not allow 256-bit recovery key'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Allow data recovery agent' is set to 'Enabled: False'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure use of hardware-based encryption for operating system drives' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require additional authentication at startup' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require additional authentication at startup: Allow BitLocker without a compatible TPM' is set to 'Enabled: False'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require additional authentication at startup: Configure TPM startup PIN:' is set to 'Enabled: Require startup PIN with TPM'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected removable drives can be recovered: Recovery Key' is set to 'Enabled: Do not allow 256-bit recovery key'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure use of smart cards on removable data drives: Require use of smart cards on removable data drives' is set to 'Enabled: True'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Deny write access to removable drives not protected by BitLocker' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off cloud optimized content' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Diagnostic Data' is set to 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service' is set to 'Enabled: Disable Authenticated Proxy usage'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not show feedback notifications' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable OneSettings Auditing' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable App Installer Experimental Features' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable App Installer ms-appinstaller protocol' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'.", ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off shell protocol protected mode' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off location' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn on behavior monitoring' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure Watson events' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn on e-mail scanning' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure detection for potentially unwanted applications' is set to 'Enabled: Block'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow auditing events in Microsoft Defender Application Guard' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow files to download and save to the host operating system from Microsoft Defender Application Guard' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent the usage of OneDrive for file storage' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off Push To Install service' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow users to connect remotely by using Remote Desktop Services' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not allow COM port redirection' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not allow LPT port redirection' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not allow supported Plug and Play device redirection' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not allow WebAuthn redirection' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require secure RPC communication' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not delete temp folders upon exit' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Cortana above lock screen' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off KMS Client Online AVS Validation' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow widgets' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Notify Malicious' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Notify Unsafe App' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled: Warn and prevent bypass'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable ESS with Supported Peripherals' is set to 'Enabled: 1'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Windows Ink Workspace' is set to 'Enabled: On, but disallow access above lock' OR 'Enabled: Disabled'.", ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Always install with elevated privileges' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable MPR notifications for the system' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow unencrypted traffic' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Disallow WinRM from storing RunAs credentials' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow clipboard sharing with Windows Sandbox' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent users from modifying settings' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure Automatic Updates: Scheduled install day' is set to '0 - Every day'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable features introduced via servicing that are off by default' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Remove access to ""Pause updates"" feature' is set to 'Enabled'.", ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Select when Quality Updates are received' is set to 'Enabled: 0 days'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable optional updates' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,23505,CVE-2015-7985 affects Steam,High,vulnerability-detector, , , , 
NormalLogs,192.168.80.140,60608,Summary event of the report's signatures., ,EventChannel,INFORMATION,2026-04-01T21:26:23.8155320Z, , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T21:17:30.9552710Z, , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enforce password history' is set to '24 or more password(s)'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.", ,sca, , , , 
NormalLogs,192.168.80.140,19013,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enforce password history' is set to '24 or more password(s)'.: Status changed from failed to 'not applicable', ,sca, , , , 
NormalLogs,192.168.80.140,19013,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Minimum password age' is set to '1 or more day(s)'.: Status changed from failed to 'not applicable', ,sca, , , , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T20:29:26.7589816Z, , 
NormalLogs,192.168.80.140,60646,License activation (slui.exe) failed., ,EventChannel,ERROR,2026-04-01T20:28:29.0201889Z, , 
NormalLogs,192.168.80.140,60602,Windows application error event., ,EventChannel,ERROR,2026-04-01T20:28:24.8407303Z, , 
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.639:212): avc:  denied  { open } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/wazuh-starter.timer"" dev=""sda1"" ino=1805069 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.389:210): avc:  denied  { write } for  pid=5603 comm=""passwd"" path=""/var/ossec/tmp/vd_1.0.0_vd_4.13.0.tar"" dev=""sda1"" ino=4025049 scontext=system_u:system_r:passwd_t:s0 tcontext=system_u:object_r:var_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.389:209): avc:  denied  { read } for  pid=5603 comm=""passwd"" path=""/var/ossec/tmp/vd_1.0.0_vd_4.13.0.tar.xz"" dev=""sda1"" ino=4025514 scontext=system_u:system_r:passwd_t:s0 tcontext=system_u:object_r:var_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.999:215): avc:  denied  { open } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/updateIndexerHeap.service"" dev=""sda1"" ino=1805065 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072198.979:244): avc:  denied  { open } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/wazuh-starter.service"" dev=""sda1"" ino=1805067 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072198.979:245): avc:  denied  { ioctl } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/wazuh-starter.service"" dev=""sda1"" ino=1805067 ioctlcmd=0x5401 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072433.689:298): avc:  denied  { getattr } for  pid=3874 comm=""login"" path=""/var/lib/update-motd/motd"" dev=""sda1"" ino=34208230 scontext=system_u:system_r:local_login_t:s0-s0:c0.c1023 tcontext=system_u:object_r:var_lib_t:s0 tclass=file permissive=1"
wazuh-server, ,533,Listened ports status (netstat) changed (new port opened or closed)., ,netstat listening ports, , , ,"ossec: output: 'netstat listening ports':
tcp 0.0.0.0:22 0.0.0.0:* /usr
tcp6 :::22 :::* /usr
udp 127.0.0.1:323 0.0.0.0:* 3169/chronyd
udp6 ::1:323 :::* 3169/chronyd
tcp 0.0.0.0:443 0.0.0.0:* 5285/node
tcp 0.0.0.0:1514 0.0.0.0:* 4475/wazuh-remoted
tcp 0.0.0.0:1515 0.0.0.0:* 4325/wazuh-authd
tcp6 127.0.0.1:9200 :::* 3865/java
tcp6 127.0.0.1:9300 :::* 3865/java
tcp 0.0.0.0:55000 0.0.0.0:* 4274/python3
tcp6 :::55000 :::* 4274/python3"
wazuh-server, ,5403,First time user executed sudo., ,journald, , , ,Apr 01 19:42:50 wazuh-server sudo[7150]: wazuh-user : TTY=tty1 ; PWD=/var ; USER=root ; COMMAND=/usr/bin/cd ossec/
wazuh-server, ,5402,Successful sudo to ROOT executed., ,journald, , , ,Apr 01 19:43:41 wazuh-server sudo[7244]: wazuh-user : TTY=tty1 ; PWD=/var ; USER=root ; COMMAND=/usr/bin/cd ossec/
wazuh-server, ,5501,PAM: Login session opened., ,journald, , , ,Apr 01 19:43:41 wazuh-server sudo[7244]: pam_unix(sudo:session): session opened for user root(uid=0) by wazuh-user(uid=1000)
NormalLogs,192.168.80.140,60608,Summary event of the report's signatures., ,EventChannel,INFORMATION,2026-04-01T20:02:49.4188506Z, , 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T20:07:34.3010252Z,This does not appear to be logged on Windows 2000, 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T20:05:04.6122604Z,This does not appear to be logged on Windows 2000, 
NormalLogs,192.168.80.140,61138,New Windows Service Created, ,EventChannel,INFORMATION,2026-04-01T20:00:20.1107571Z, , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T20:04:02.9356037Z, , 
NormalLogs,192.168.80.140,60642,Software protection service scheduled successfully., ,EventChannel,INFORMATION,2026-04-01T20:27:26.6690247Z, , 
wazuh-server, ,19004,SCA summary: CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Score less than 50% (44), ,sca, , , , 
NormalLogs,192.168.80.140,506,Wazuh agent stopped., ,wazuh-remoted, , , ,ossec: Agent stopped: 'NormalLogs->any'.
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072808.337:192): avc:  denied  { read } for  pid=1 comm=""systemd"" name=""updateIndexerHeap.service"" dev=""sda1"" ino=1805065 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Minimum password age' is set to '1 or more day(s)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Accounts: Guest account status' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Named Pipes that can be accessed anonymously' is set to 'None'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) clients' is set to 'Require NTLMv2 session security, Require 128-bit encryption'.", ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Bluetooth Audio Gateway Service (BTAGService)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Bluetooth Support Service (bthserv)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Peer Networking Identity Manager (p2pimsvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Print Spooler (Spooler)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Remote Desktop Services UserMode Port Redirector (UmRdpService)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Server (LanmanServer)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Simple TCP/IP Services (simptcp)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'SNMP Service (SNMP)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Special Administration Console Helper (sacsvr)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Xbox Live Auth Manager (XblAuthManager)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Application Group Management' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit User Account Management' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Process Creation' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Group Membership' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Logon' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Special Logon' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Other Object Access Events' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Authentication Policy Change' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent enabling lock screen camera' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Online Tips' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable Certificate Padding' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)'., ,sca, , , , 
